player,team,position,age,games,minutes,goals,pens_made,assists,xg,npxg,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,xg_per90,npxg_per90,pens_att,assists,progressive_passes,progressive_carries,progressive_passes_received
Eric Dier,Tottenham,DF,29,4,201,0,0,0,0.0,0.0,0,3,0.00,0.00,0.00,0.00,0.00,0,0,3,0,0
Erling Haaland,Manchester City,FW,23,31,"2,552",27,7,5,29.2,22.9,35,26,0.95,0.18,1.13,1.03,0.81,8,5,26,35,126
Ethan Pinnock,Brentford,DF,30,29,"2,521",2,0,0,2.0,2.0,11,61,0.07,0.00,0.07,0.07,0.07,0,0,61,11,16
Evan Ferguson,Brighton,FW,18,27,"1,367",6,0,0,4.6,4.6,13,15,0.40,0.00,0.40,0.30,0.30,0,0,15,13,62
Ezri Konsa,Aston Villa,DF,25,35,"3,069",1,0,0,2.5,2.5,37,136,0.03,0.00,0.03,0.07,0.07,0,0,136,37,33
Fabian Schär,Newcastle Utd,DF,31,36,"3,054",4,0,1,2.5,2.5,28,133,0.12,0.03,0.15,0.07,0.07,0,1,133,28,20
Fabio Vieira,Arsenal,"MF,FW",23,11,297,1,1,2,1.3,0.5,12,15,0.30,0.61,0.91,0.38,0.14,1,2,15,12,30
Facundo Buonanotte,Brighton,"FW,MF",18,27,"1,364",3,0,1,2.4,2.4,23,42,0.20,0.07,0.26,0.16,0.16,0,1,42,23,69
Facundo Pellistri,Manchester Utd,"FW,MF",21,9,172,0,0,1,0.7,0.7,6,6,0.00,0.52,0.52,0.38,0.38,0,1,6,6,31
Felipe,Nott'ham Forest,DF,34,7,375,0,0,0,0.1,0.1,1,6,0.00,0.00,0.00,0.03,0.03,0,0,6,1,0
Frank Onyeka,Brentford,MF,25,26,"1,161",1,0,2,2.2,2.2,17,33,0.08,0.16,0.23,0.17,0.17,0,2,33,17,39
Fred Onyedinma,Luton Town,"DF,MF",26,8,407,0,0,0,0.2,0.2,9,6,0.00,0.00,0.00,0.04,0.04,0,0,6,9,21
Fábio Silva,Wolves,FW,21,8,264,0,0,0,1.0,1.0,5,10,0.00,0.00,0.00,0.35,0.35,0,0,10,5,13
Gabriel Jesus,Arsenal,FW,26,27,"1,478",4,0,5,6.3,6.3,38,42,0.24,0.30,0.55,0.39,0.39,0,5,42,38,155
Gabriel Magalhães,Arsenal,DF,25,36,"3,044",4,0,0,4.3,4.3,13,117,0.12,0.00,0.12,0.13,0.13,0,0,117,13,8
Gabriel Martinelli,Arsenal,FW,22,35,"2,019",6,0,4,6.8,6.8,127,65,0.27,0.18,0.45,0.31,0.31,0,4,65,127,345
Gabriel Osho,Luton Town,DF,24,21,"1,846",2,0,0,1.1,1.1,10,37,0.10,0.00,0.10,0.05,0.05,0,0,37,10,4
George Baldock,Sheffield Utd,DF,30,13,969,0,0,1,0.0,0.0,9,31,0.00,0.09,0.09,0.00,0.00,0,1,31,9,24
Gio Reyna,Nott'ham Forest,"FW,MF",20,9,235,0,0,1,0.3,0.3,3,12,0.00,0.38,0.38,0.11,0.11,0,1,12,3,14
Giovani Lo Celso,Tottenham,MF,27,22,506,2,0,2,0.6,0.6,25,68,0.36,0.36,0.71,0.10,0.10,0,2,68,25,29
Gonzalo Montiel,Nott'ham Forest,DF,26,14,801,0,0,2,0.1,0.1,10,28,0.00,0.22,0.22,0.01,0.01,0,2,28,10,32
Guglielmo Vicario,Tottenham,GK,26,38,"3,420",0,0,0,0.0,0.0,0,3,0.00,0.00,0.00,0.00,0.00,0,0,3,0,0
Gustavo Hamer,Sheffield Utd,MF,26,36,"2,910",4,0,6,3.0,3.0,36,135,0.12,0.19,0.31,0.09,0.09,0,6,135,36,86
Hannes Delcroix,Burnley,DF,24,12,589,0,0,0,0.4,0.4,2,18,0.00,0.00,0.00,0.05,0.05,0,0,18,2,6
Hannibal Mejbri,Manchester Utd,"MF,FW",20,5,133,1,0,0,0.0,0.0,2,6,0.68,0.00,0.68,0.02,0.02,0,0,6,2,10
Harrison Reed,Fulham,MF,28,27,"1,325",0,0,2,0.3,0.3,10,56,0.00,0.14,0.14,0.02,0.02,0,2,56,10,40
Harry Maguire,Manchester Utd,DF,30,22,"1,653",2,0,2,2.0,2.0,20,73,0.11,0.11,0.22,0.11,0.11,0,2,73,20,2
Harry Toffolo,Nott'ham Forest,DF,27,23,"1,459",1,0,3,1.6,1.6,10,42,0.06,0.19,0.25,0.10,0.10,0,3,42,10,34
